data,PETR4
2016-11-21,13.1992
2016-11-22,13.4957
2016-11-23,13.4279
2016-11-24,13.1992
2016-11-25,12.962
2016-11-28,13.0975
2016-11-29,12.4198
2016-11-30,13.555
2016-12-01,13.0806
2016-12-02,13.411
2016-12-05,13.2669
2016-12-06,13.6821
2016-12-07,13.4364
2016-12-08,13.3008
2016-12-09,13.1992
2016-12-12,13.2161
2016-12-13,13.089
2016-12-14,12.4875
2016-12-15,12.5807
2016-12-16,12.5045
2016-12-19,12.1656
2016-12-20,12.1571
2016-12-21,12.1487
2016-12-22,11.8691
2016-12-23,12.0639
2016-12-26,12.2164
2016-12-27,12.208
2016-12-28,12.5214
2016-12-29,12.5977
2017-01-02,12.4198
2017-01-03,13.1314
2017-01-04,13.1314
2017-01-05,13.3432
2017-01-06,13.2669
2017-01-09,12.9874
2017-01-10,13.1145
2017-01-11,13.2669
2017-01-12,13.4703
2017-01-13,13.2839
2017-01-16,13.3432
2017-01-17,13.4025
2017-01-18,13.3771
2017-01-19,13.3601
2017-01-20,13.555
2017-01-23,13.5465
2017-01-24,13.5889
2017-01-26,13.3856
2017-01-27,13.2331
2017-01-30,12.5723
2017-01-31,12.7247
2017-02-01,12.7247
2017-02-02,12.6146
2017-02-03,12.9958
2017-02-06,12.6739
2017-02-07,12.4536
2017-02-08,12.7925
2017-02-09,12.7502
2017-02-10,13.1992
2017-02-13,13.2331
2017-02-14,13.4025
2017-02-15,13.4194
2017-02-16,13.4364
2017-02-17,13.2246
2017-02-20,13.4872
2017-02-21,13.6312
2017-02-22,13.3008
2017-02-23,13.1822
2017-02-24,12.8603
2017-03-01,13.1483
2017-03-02,12.801
2017-03-03,12.9789
2017-03-06,12.7925
2017-03-07,12.8603
2017-03-08,12.3266
2017-03-09,12.2842
2017-03-10,12.1232
2017-03-13,12.1741
2017-03-14,11.5133
2017-03-15,12.0301
2017-03-16,11.6149
2017-03-17,11.149
2017-03-20,11.5217
2017-03-21,11.0134
2017-03-22,11.5726
2017-03-23,11.4963
2017-03-24,11.4201
2017-03-27,11.6658
2017-03-28,11.8183
2017-03-29,12.2419
2017-03-30,12.2419
2017-03-31,12.2757
