Período;TOTAL Geral
01/04/2017;221.863
01/05/2017;275.099
01/06/2017;266.575
01/07/2017;255.141
01/08/2017;292.884
01/09/2017;265.457
01/10/2017;271.076
01/11/2017;269.493
01/12/2017;290.076
01/01/2018;258.266
01/02/2018;219.891
01/03/2018;286.708
01/04/2018;299.482
01/05/2018;283.127
01/06/2018;276.049
01/07/2018;293.717
01/08/2018;337.535
01/09/2018;287.397
01/10/2018;338.063
01/11/2018;307.778
01/12/2018;318.566
01/01/2019;290.509
01/02/2019;282.828
01/03/2019;292.984
01/04/2019;325.302
01/05/2019;343.484
01/06/2019;303.253
01/07/2019;333.658
01/08/2019;331.655
01/09/2019;322.583
01/10/2019;351.756
01/11/2019;330.725
01/12/2019;356.640
01/01/2020;285.142
01/02/2020;280.804
01/03/2020;238.983
01/04/2020;83.961
01/05/2020;91.391
01/06/2020;178.685
01/07/2020;259.661
01/08/2020;279.393
01/09/2020;307.331
01/10/2020;311.201
01/11/2020;314.464
01/12/2020;342.814
01/01/2021;256.981
01/02/2021;224.798
01/03/2021;251.679
01/04/2021;269.798
01/05/2021;299.054
01/06/2021;289.158
01/07/2021;288.025
01/08/2021;275.507
